"language","filename","sex","notes"
"English","English/Eng-NA-MOR/Garvey/leoeve",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/maxjim",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/maxnan",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/nanjim",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/nedima",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/nedmae",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/pativy",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/pegjan",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/pegron",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/piaabe",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/piaval",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/ronjan",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/royada",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/roykim",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/samava",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/samian",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/valabe",,"multiple chi"
"English","English/Eng-NA-MOR/Garvey/wesann",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/01",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/02",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/03",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/04",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/05",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/06",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/07",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/08",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/09",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/10",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/11",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/12",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/13",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/14",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/15",,"multiple chi"
"English","English/Eng-NA-MOR/Gathercole/16",,"multiple chi"
"English","English/Eng-NA-MOR/HSLLD/HV1/TP/contp1","male",
"English","English/Eng-NA-MOR/HSLLD/HV5/MT/aprmt52","female",
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/acemd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/admmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/aimmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/anamd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/annmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/aprmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/bobmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/bramd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/brimd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/brnmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/casmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/catmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/conmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/ethmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/geomd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/gremd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/jammd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/jeamd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/jebmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/jenmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/jermd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/jesmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/joymd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/kevmd7",,"mot-only task"
"English","English/Eng-NA-MOR/HSLLD/HV7/MD/kurmd7",,"mot-only task"
